SN,Purchase Count,Average Purchase Price,Total Purchase Value
Adairialis76,1,2.28,2.28
Adastirin33,1,4.48,4.48
Aeda94,1,4.91,4.91
Aela59,1,4.32,4.32
Aelaria33,1,1.79,1.79
Aelastirin39,2,3.6449999999999996,7.289999999999999
Aelidru27,1,1.09,1.09
Aelin32,3,2.9933333333333336,8.98
Aelly27,2,3.3949999999999996,6.789999999999999
Aellynun67,1,3.74,3.74
Aellyria80,1,3.08,3.08
Aelollo59,2,2.8150000000000004,5.630000000000001
Aenarap34,1,2.96,2.96
Aeral43,1,4.4,4.4
Aeral68,1,4.0,4.0
Aeral97,1,4.8,4.8
Aeralria27,1,4.09,4.09
Aeralstical35,1,2.96,2.96
Aeri84,1,1.61,1.61
Aerillorin70,1,3.33,3.33
Aerithllora36,2,4.32,8.64
Aerithnucal56,1,4.4,4.4
Aerithnuphos61,1,4.91,4.91
Aerithriaphos45,1,1.56,1.56
Aerithriaphos46,1,2.18,2.18
Aesri53,1,1.76,1.76
Aesty53,2,1.955,3.91
Aestysu37,2,2.69,5.38
Aesur96,1,2.21,2.21
Aesurstilis64,1,1.03,1.03
Aethedru70,1,3.54,3.54
Aidai53,1,4.6,4.6
Aidai61,1,1.01,1.01
Aidai73,1,3.08,3.08
Aidaillodeu39,2,3.9299999999999997,7.859999999999999
Aidain51,1,3.45,3.45
Aidaira26,1,4.23,4.23
Aiduecal76,2,3.79,7.58
Aiduesu86,1,4.48,4.48
Aillyriadru65,1,1.1,1.1
Aillyrin83,1,2.89,2.89
Aina42,3,3.073333333333333,9.219999999999999
Aina43,1,3.09,3.09
Airi27,1,3.45,3.45
Aisur51,1,1.14,1.14
Aisurdru79,2,1.755,3.51
Aisurria69,1,1.79,1.79
Aithelis62,2,3.39,6.78
Alaephos75,1,4.84,4.84
Alaesu77,1,2.49,2.49
Alaesu91,1,3.45,3.45
Alarap40,1,3.27,3.27
Ali84,2,2.155,4.31
Alim85,1,2.5,2.5
Alo38,1,1.0,1.0
Anallorgue57,2,2.85,5.7
Ardcil81,2,2.79,5.58
Ardonmol96,1,1.55,1.55
Arin32,2,4.545,9.09
Arirgue63,1,1.7,1.7
Assassa81,1,3.39,3.39
Assassasta79,2,3.315,6.63
Assastnya25,1,4.48,4.48
Assehoan67,1,1.75,1.75
Assesi91,1,1.54,1.54
Assilsan72,1,4.9,4.9
Assim27,1,1.7,1.7
Assirra56,1,3.19,3.19
Assistasda42,2,2.96,5.92
Assistasda90,1,4.35,4.35
Assjaskan56,1,2.96,2.96
Assjaskan73,1,1.7,1.7
Assosia88,1,1.33,1.33
Assylla81,1,4.18,4.18
Asty82,1,3.09,3.09
Asur53,3,2.48,7.4399999999999995
Asur96,1,4.74,4.74
Baelollodeu94,2,4.515,9.03
Bartassaya73,2,3.06,6.12
Caesrinusuir82,2,2.59,5.18
Ceoral34,1,4.58,4.58
Chadadarla74,2,3.015,6.03
Chadilsasta32,2,2.145,4.29
Chadirra90,1,2.05,2.05
Chadista79,2,4.175,8.35
Chadistaya75,1,3.94,3.94
Chadjask77,1,4.93,4.93
Chadjask85,1,3.87,3.87
Chadolyla44,3,3.8200000000000003,11.46
Chadossa56,1,1.98,1.98
Chadossa89,1,3.19,3.19
Chamadar79,1,3.14,3.14
Chamadarnya73,1,3.07,3.07
Chamadarsda63,1,3.92,3.92
Chamalo71,1,4.64,4.64
Chamassasya86,1,3.27,3.27
Chamast86,1,2.05,2.05
Chamastya76,1,2.05,2.05
Chamilsala65,2,4.275,8.55
Chamiman85,1,4.4,4.4
Chamimla73,1,4.8,4.8
Chamimla85,3,2.1,6.300000000000001
Chamirra53,2,2.68,5.36
Chamirrasya33,2,1.525,3.05
Chamirraya83,1,2.22,2.22
Chamistast30,1,3.58,3.58
Chamjask73,3,4.61,13.83
Chamjaskya75,1,2.84,2.84
Chamossa77,1,1.77,1.77
Chanadar44,1,3.19,3.19
Chanastnya43,3,2.94,8.82
Chanastsda67,1,3.7,3.7
Chanastst38,2,3.29,6.58
Chanastya70,1,3.58,3.58
Chanilsasda38,1,2.52,2.52
Chanilsast61,1,2.08,2.08
Chanirra64,1,1.54,1.54
Chanirra79,1,1.01,1.01
Chanirrala39,2,3.075,6.15
Chanirrasta87,1,4.94,4.94
Chanista95,1,3.16,3.16
Chanjask65,1,4.32,4.32
Chanjaskan89,2,2.585,5.17
Chanosia34,1,2.96,2.96
Chanosia60,2,2.71,5.42
Chanosian48,2,3.76,7.52
Chanosiaya39,1,1.97,1.97
Chanossanya44,2,3.14,6.28
Chanossast57,1,4.32,4.32
Chanuchi25,1,3.97,3.97
Cosadar58,1,4.35,4.35
Dyally87,1,4.99,4.99
Ealiril69,1,4.4,4.4
Ealrion88,1,4.48,4.48
Ennalmol65,1,4.88,4.88
Ennoncil86,1,1.74,1.74
Ennrian78,2,3.04,6.08
Eodailis27,2,2.88,5.76
Eodairu79,1,3.4,3.4
Eodaisu60,1,3.94,3.94
Eolan54,1,1.54,1.54
Eoral49,1,4.35,4.35
Eoralrap26,1,1.7,1.7
Eosrirgue62,1,3.08,3.08
Eosurdru76,1,1.79,1.79
Eratiel90,1,4.6,4.6
Ermol76,1,2.5,2.5
Errian63,1,3.49,3.49
Eryon48,1,1.1,1.1
Ethralista69,1,2.22,2.22
Ethrasyon38,1,2.04,2.04
Ethriel85,1,3.1,3.1
Ethron58,1,2.49,2.49
Eudanu32,1,2.85,2.85
Eudanu84,1,1.02,1.02
Eulae84,1,3.87,3.87
Eulaestira36,2,2.0700000000000003,4.140000000000001
Eulanurin88,1,1.79,1.79
Eulasuir89,1,2.67,2.67
Eulolis41,1,2.67,2.67
Eurisuru25,1,2.18,2.18
Eurithphos97,2,2.275,4.55
Eusri26,1,3.27,3.27
Eusri44,1,3.09,3.09
Eusri70,2,3.67,7.34
Eustyria89,1,2.85,2.85
Eusur90,1,1.6,1.6
Eusurdeu49,2,2.47,4.94
Euthe35,1,1.03,1.03
Eyircil84,1,4.35,4.35
Eyista89,1,1.29,1.29
Eyrian71,2,2.5949999999999998,5.1899999999999995
Farrian71,1,3.08,3.08
Farusrian86,1,4.48,4.48
Filrion59,1,4.64,4.64
Filrion83,1,4.4,4.4
Filurarn35,1,4.91,4.91
Firan91,1,4.91,4.91
Firatan58,1,3.75,3.75
Firon67,1,3.53,3.53
Fironon91,1,4.08,4.08
Frichadar89,1,2.67,2.67
Frichadaran88,2,2.9450000000000003,5.890000000000001
Frichast28,1,2.05,2.05
Frichaststa61,1,1.79,1.79
Frichaya88,1,3.93,3.93
Frichilsa31,1,1.44,1.44
Frichim77,2,1.875,3.75
Frichirranya75,1,4.23,4.23
Frichjask31,1,4.43,4.43
Frichjaskan98,1,1.02,1.02
Frichocesta66,2,4.1850000000000005,8.370000000000001
Frichosia58,1,4.43,4.43
Frichosiala98,1,3.54,3.54
Frichossala54,1,3.08,3.08
Frichynde86,1,1.63,1.63
Hada39,3,2.856666666666667,8.57
Haedairiadru51,1,3.09,3.09
Haeladil46,1,3.81,3.81
Haellysu29,1,3.77,3.77
Haerith37,1,1.66,1.66
Haerithp41,1,4.4,4.4
Haestyphos66,1,1.97,1.97
Hailaphos89,1,3.81,3.81
Haillyrgue51,3,3.1666666666666665,9.5
Haisrisuir60,2,3.43,6.86
Haisurra41,1,4.4,4.4
Hala31,1,1.02,1.02
Halaecal66,2,3.5549999999999997,7.109999999999999
Hallysucal81,1,1.66,1.66
Hari50,2,2.955,5.91
Hariphos58,1,2.05,2.05
Heollyra92,1,3.07,3.07
Heollyriap59,1,3.47,3.47
Heosurnuru52,2,2.23,4.46
Heudai45,1,3.47,3.47
Heuli25,2,3.2750000000000004,6.550000000000001
Heunadil74,1,1.54,1.54
Hiaral50,3,1.3966666666666667,4.19
Hiarideu73,1,2.5,2.5
Hiasri33,2,3.745,7.49
Hiasurria41,1,1.61,1.61
Hilaerin92,1,3.61,3.61
Hiral75,1,1.98,1.98
Hirirap39,2,1.355,2.71
Hisridru55,1,3.08,3.08
Hyaduesu61,1,4.23,4.23
Iadueria43,1,1.71,1.71
Ialallo29,3,3.9466666666666668,11.84
Ialidru40,1,3.16,3.16
Iana95,1,3.1,3.1
Iarallo65,1,1.75,1.75
Iaralrgue74,2,1.615,3.23
Iaralsuir44,2,3.8100000000000005,7.620000000000001
Iarilis73,2,2.745,5.49
Iasrira89,2,3.125,6.25
Iasur80,2,1.6600000000000001,3.3200000000000003
Iasurriacal29,1,4.07,4.07
Iasursti71,1,1.66,1.66
Iathem87,1,3.19,3.19
Iathenudil29,1,4.6,4.6
Idacal95,1,2.07,2.07
Idai61,3,2.7433333333333336,8.23
Idaidil28,2,3.795,7.59
Idairin51,2,3.5,7.0
Idaisuir85,1,3.15,3.15
Idastidru52,4,3.8625,15.45
Iduelis31,1,1.1,1.1
Iduenu77,1,3.82,3.82
Ilaesudil92,1,4.35,4.35
Ilarin91,3,4.233333333333333,12.7
Ilassa51,1,2.22,2.22
Ilassast39,1,1.63,1.63
Ilast79,1,2.05,2.05
Ilastilis78,1,1.97,1.97
Ili43,1,2.18,2.18
Ililsan66,1,2.85,2.85
Ililsasya43,1,1.02,1.02
Ilimya66,1,4.23,4.23
Ilirrasda54,2,2.5300000000000002,5.0600000000000005
Ilista82,1,1.14,1.14
Iljask75,1,3.61,3.61
Ilmol66,2,3.085,6.17
Ilosia37,2,3.675,7.35
Ilosian36,1,4.58,4.58
Ilosianya35,1,2.84,2.84
Ilunyon70,1,3.54,3.54
Ina92,1,4.58,4.58
Inasti31,2,1.445,2.89
Inasuir29,1,4.4,4.4
Indcil77,1,4.35,4.35
Indirrian56,1,1.77,1.77
Indonmol95,1,3.3,3.3
Ingatcil75,1,1.56,1.56
Inguron55,3,3.703333333333333,11.11
Iral74,4,3.4049999999999994,13.619999999999997
Iri67,3,3.7900000000000005,11.370000000000001
Irilis75,1,1.02,1.02
Irillo49,1,3.79,3.79
Irith83,1,2.07,2.07
Irithlis29,1,4.86,4.86
Iskadarya95,3,4.366666666666666,13.1
Iskichinya81,2,2.4699999999999998,4.9399999999999995
Iskim66,1,3.46,3.46
Iskim96,1,1.33,1.33
Iskirra45,1,3.03,3.03
Iskjaskst81,2,2.21,4.42
Iskosia90,1,1.44,1.44
Iskosian40,1,3.07,3.07
Iskossasda43,1,4.35,4.35
Isri34,2,3.485,6.97
Isty55,1,4.08,4.08
Isurria36,1,1.02,1.02
Isursti83,1,1.54,1.54
Isursuir31,1,3.39,3.39
Ithergue48,1,4.88,4.88
Itheria73,1,2.18,2.18
Jeyciman68,1,2.05,2.05
Jiskadarst60,1,4.4,4.4
Jiskassa76,1,1.87,1.87
Jiskimsda56,1,1.14,1.14
Jiskimya77,2,2.99,5.98
Jiskirran77,1,3.39,3.39
Jiskjask60,1,2.22,2.22
Jiskjask80,1,4.19,4.19
Jiskjask85,1,1.33,1.33
Jiskossa61,1,3.16,3.16
Laedallo55,1,4.9,4.9
Lalossa38,1,3.77,3.77
Lamil79,2,4.645,9.29
Lassadarsda57,2,3.245,6.49
Lassassasda30,1,3.54,3.54
Lassassast73,1,4.65,4.65
Lassilsala30,3,3.8366666666666673,11.510000000000002
Lassimla92,2,4.085,8.17
Lassirrasda85,1,3.44,3.44
Lassjask63,1,1.94,1.94
Lassjaskan73,1,2.5,2.5
Layjask75,1,1.7,1.7
Leetirraya83,2,3.29,6.58
Leyirra83,2,3.6500000000000004,7.300000000000001
Liawista80,1,2.27,2.27
Lirtassa52,1,1.09,1.09
Lirtassan78,1,3.27,3.27
Lirtastan49,1,2.48,2.48
Lirtastsda29,2,3.42,6.84
Lirtastsya71,2,2.715,5.43
Lirtilsa71,1,4.94,4.94
Lirtilsa72,2,3.665,7.33
Lirtim36,1,1.33,1.33
Lirtimst73,2,2.19,4.38
Lirtirra37,1,3.14,3.14
Lirtirra81,1,1.56,1.56
Lirtistanya48,2,3.1500000000000004,6.300000000000001
Lirtosia63,2,2.145,4.29
Lirtossa60,2,2.2800000000000002,4.5600000000000005
Lirtossa84,2,1.62,3.24
Lisadar44,1,1.98,1.98
Lisasi93,2,1.7400000000000002,3.4800000000000004
Lisassa64,1,2.89,2.89
Lisassala98,1,2.92,2.92
Lisassasda39,1,2.94,2.94
Lisassasta50,1,1.94,1.94
Lisast87,2,3.3,6.6
Lisast98,1,3.97,3.97
Lisico81,1,4.19,4.19
Lisilsa62,1,4.88,4.88
Lisim51,2,2.83,5.66
Lisim78,3,3.34,10.02
Lisiriya82,1,2.27,2.27
Lisirra25,1,2.52,2.52
Lisirra58,1,2.96,2.96
Lisirra87,1,4.23,4.23
Lisista27,1,3.47,3.47
Lisista54,2,1.915,3.83
Lisista63,1,1.74,1.74
Lisjaskan36,1,3.36,3.36
Lisjaskya84,1,2.89,2.89
Lisopela58,3,2.953333333333333,8.86
Lisosia66,1,3.65,3.65
Lisosia93,5,3.7920000000000003,18.96
Lisossa25,2,1.56,3.12
Lisossa46,1,2.5,2.5
Lisossala30,1,4.35,4.35
Lisossanya98,1,3.44,3.44
Lisotesta51,1,1.94,1.94
Lisovynya38,1,1.56,1.56
Malarrian73,1,1.4,1.4
Malil90,1,2.18,2.18
Malon70,1,2.38,2.38
Maluncil97,2,2.64,5.28
Malunil62,2,3.76,7.52
Maradaran90,1,2.73,2.73
Maradarnya40,1,2.37,2.37
Marassa62,1,4.35,4.35
Marast30,1,3.53,3.53
Maridisya31,1,3.08,3.08
Marilsa69,2,2.625,5.25
Marilsanya48,1,3.03,3.03
Marilsasya33,2,1.35,2.7
Marim28,2,2.165,4.33
Marirrasta50,1,4.66,4.66
Marjask87,1,1.44,1.44
Marokian45,1,3.53,3.53
Maropast28,1,4.76,4.76
Marughi89,1,2.18,2.18
Marundi65,1,1.75,1.75
Marynde90,2,2.6550000000000002,5.3100000000000005
Meosridil82,1,4.9,4.9
Mindadaran26,1,3.75,3.75
Mindesi74,2,2.74,5.48
Mindetosya30,1,3.16,3.16
Mindilsa34,1,2.37,2.37
Mindilsa60,1,1.28,1.28
Mindimnya67,1,4.18,4.18
Mindirranya33,1,3.87,3.87
Mindista32,1,4.23,4.23
Mindjasksya61,1,2.6,2.6
Mindossa76,1,4.93,4.93
Minduli80,1,1.44,1.44
Minduri31,1,4.07,4.07
Nitherian58,2,1.8449999999999998,3.6899999999999995
Palatyon26,1,2.37,2.37
Palyon91,1,3.39,3.39
Peorith44,1,3.44,3.44
Phaedasurap84,1,3.82,3.82
Phaedue89,1,3.85,3.85
Phaelap26,2,3.3200000000000003,6.640000000000001
Phaena87,3,1.83,5.49
Phaestycal84,2,1.985,3.97
Pheodai94,1,1.56,1.56
Pheodaisun84,3,2.77,8.31
Pheosrinudeu70,2,3.58,7.16
Pheosurllorin41,2,2.69,5.38
Pheulidil31,1,3.27,3.27
Pheusrical25,1,3.82,3.82
Pheutherin27,1,4.18,4.18
Phiallylis33,1,4.58,4.58
Phiarithdeu40,1,1.48,1.48
Philodil43,1,1.29,1.29
Phiristi62,1,1.79,1.79
Phistym51,2,4.75,9.5
Phistyn52,1,1.63,1.63
Phyali88,3,3.4333333333333336,10.3
Poshilsa82,1,4.86,4.86
Qarirwen82,1,1.54,1.54
Qilalista41,1,1.02,1.02
Qilanrion65,1,3.03,3.03
Qilatista90,1,1.76,1.76
Qilunan34,1,4.58,4.58
Quaecjask96,1,4.4,4.4
Quanenrian83,1,2.27,2.27
Quanrion96,1,3.08,3.08
Quanunwen42,1,3.49,3.49
Quaranmol58,1,3.33,3.33
Quarrion42,1,4.23,4.23
Quilassa66,1,4.23,4.23
Quinarap53,2,3.535,7.07
Raesty92,3,2.91,8.73
Raillydeu47,1,1.97,1.97
Rairin89,1,3.45,3.45
Rairith81,1,2.22,2.22
Raisty38,1,3.27,3.27
Rarallo90,3,3.016666666666666,9.049999999999999
Rastynusuir31,1,2.27,2.27
Raysistast71,1,3.65,3.65
Reulae52,1,4.18,4.18
Reunasu60,2,4.41,8.82
Rianistast50,1,4.23,4.23
Rilaera56,1,4.08,4.08
Ririp86,1,4.94,4.94
Risty84,1,4.6,4.6
Ristydru66,1,1.87,1.87
Rithe53,1,3.39,3.39
Ryanara76,1,3.47,3.47
Saedaiphos46,3,2.9433333333333334,8.83
Saelaephos52,2,3.1799999999999997,6.359999999999999
Saena74,1,4.74,4.74
Saena89,1,3.41,3.41
Saerallora71,1,4.43,4.43
Saesrideu94,2,4.59,9.18
Saida58,1,1.03,1.03
Saisrilis27,1,1.75,1.75
Saistyphos30,3,3.4433333333333334,10.33
Salilis27,1,4.23,4.23
Sally64,1,1.33,1.33
Sastydeu50,1,2.18,2.18
Sausosia74,2,3.3049999999999997,6.609999999999999
Seolollo93,1,3.41,3.41
Seosrim97,2,2.68,5.36
Seudaillorap38,2,3.355,6.71
Seuthep89,1,2.05,2.05
Shaidanu32,1,3.08,3.08
Shidai42,1,1.33,1.33
Siala43,2,3.63,7.26
Siallylis44,3,3.456666666666667,10.370000000000001
Siana77,1,1.97,1.97
Siarithria38,2,3.455,6.91
Sida61,2,2.715,5.43
Sidap51,1,4.24,4.24
Silaera56,3,2.8266666666666667,8.48
Siralsudeu54,2,1.225,2.45
Sisur91,1,4.19,4.19
Smaistysu35,2,3.3449999999999998,6.6899999999999995
Sondadar26,2,3.2350000000000003,6.470000000000001
Sondadarya58,1,1.75,1.75
Sondassan80,1,2.6,2.6
Sondassasya91,1,3.81,3.81
Sondastsda82,3,2.6300000000000003,7.890000000000001
Sondilsaya62,1,3.14,3.14
Sondim68,2,2.83,5.66
Sondim73,1,4.4,4.4
Sondimla25,1,4.32,4.32
Sondistanya61,1,3.45,3.45
Sondossa69,1,4.48,4.48
Strithenu87,3,3.393333333333333,10.18
Styaduen40,1,1.66,1.66
Sundadar27,2,4.3549999999999995,8.709999999999999
Sundadarla27,1,2.85,2.85
Sundassa93,1,2.45,2.45
Sundim98,1,4.75,4.75
Sundirrala66,2,3.89,7.78
Sundista37,1,1.77,1.77
Sundjask71,1,4.0,4.0
Syally44,2,2.23,4.46
Syalollorap93,1,4.24,4.24
Syathe73,1,1.4,1.4
Syathecal44,1,2.42,2.42
Taeduenu92,1,4.4,4.4
Thourdirra92,1,1.44,1.44
Thrientossa55,1,2.85,2.85
Thryallym62,1,2.05,2.05
Tyaedainu44,1,3.54,3.54
Tyaelaelis94,1,4.4,4.4
Tyaelistidru84,1,3.26,3.26
Tyaelly53,1,2.07,2.07
Tyaelo67,1,4.88,4.88
Tyaelorap29,2,3.855,7.71
Tyaenasti87,1,4.4,4.4
Tyaerith73,1,1.71,1.71
Tyalaesu89,1,2.96,2.96
Tyananurgue44,1,3.27,3.27
Tyarithn67,1,1.14,1.14
Tyeoralru41,1,2.94,2.94
Tyeosri53,2,2.96,5.92
Tyeudariasuir90,1,3.58,3.58
Tyeuduen32,1,4.05,4.05
Tyeurith29,1,3.65,3.65
Tyialisti80,1,4.14,4.14
Tyialisudeu65,2,2.5250000000000004,5.050000000000001
Tyida79,2,3.6950000000000003,7.390000000000001
Tyidaim51,3,3.9433333333333334,11.83
Tyidainu31,1,2.49,2.49
Tyirinu79,1,4.24,4.24
Tyisur83,3,1.7866666666666664,5.359999999999999
Umolrian85,3,2.7100000000000004,8.13
Undare39,2,2.02,4.04
Undassa89,1,1.76,1.76
Undilsan50,1,1.79,1.79
Undimsya85,1,3.46,3.46
Undirra73,1,2.89,2.89
Undirrala66,2,2.7350000000000003,5.470000000000001
Undirrasta89,1,1.94,1.94
Undista85,1,3.45,3.45
Undjask33,1,1.1,1.1
Undjaskla97,2,2.66,5.32
Undosia27,1,3.77,3.77
Undosian34,2,4.15,8.3
Undotesta33,1,4.74,4.74
Wailin72,1,2.73,2.73
Yadacal26,2,3.27,6.54
Yadaisuir65,1,4.09,4.09
Yadam35,1,2.48,2.48
Yadanu52,1,2.38,2.38
Yadaphos40,2,2.6750000000000003,5.3500000000000005
Yalae81,2,3.3449999999999998,6.6899999999999995
Yalaeria91,1,1.06,1.06
Yaliru88,1,3.03,3.03
Yalo85,1,3.65,3.65
Yalostiphos68,1,4.4,4.4
Yana46,1,3.55,3.55
Yarithllodeu72,1,3.75,3.75
Yarithrgue83,1,3.45,3.45
Yarithrin84,1,4.14,4.14
Yarithsurgue62,1,4.94,4.94
Yarolwen77,1,4.43,4.43
Yasrisu92,1,3.44,3.44
Yastyriaphos75,1,4.75,4.75
Yasur35,1,4.48,4.48
Yasur85,1,1.1,1.1
Yathecal72,1,3.46,3.46
Yathecal82,3,2.0733333333333333,6.22
Yathedeu43,2,3.01,6.02
Yoishirrala98,1,4.58,4.58
Zhisrisu83,2,3.945,7.89
Zontibe81,3,2.6766666666666663,8.03
